UNIQUE.COUNTY,2009,2010,2011,2012,2013,2014,2015,2016
36071,155,164,192,222,186,173,192,132
36075,86,116,126,118,106,91,98,121
36081,941,966,1187,1180,1143,1202,1185,1163
36083,96,84,146,166,143,134,172,156
36085,219,246,255,194,224,232,207,192
36087,135,150,149,166,170,168,199,191
36089,130,114,183,166,154,174,186,180
36091,64,92,126,125,105,102,105,98
36093,68,78,116,102,95,84,71,86
36103,704,647,760,821,726,742,670,699
36109,NA,NA,NA,289,306,280,315,304
37e3,2427,2540,3001,1763,1796,1760,1620,1645
37001,74,64,133,125,92,110,102,146
37019,NA,NA,NA,23,18,24,20,31
37021,NA,NA,NA,119,111,111,101,98
37025,53,46,49,NA,NA,NA,NA,NA
37035,53,47,75,55,58,58,52,63
37049,NA,NA,NA,28,29,21,22,28
37051,136,145,187,177,176,135,153,155
37057,49,33,35,55,49,43,40,48
37063,NA,NA,NA,216,223,231,203,218
37067,183,174,249,208,245,238,242,251
37071,NA,NA,NA,72,71,57,76,77
37081,265,256,373,362,364,363,343,396
37085,NA,NA,NA,97,81,86,111,91
37097,40,31,30,NA,NA,NA,NA,NA
37101,NA,NA,NA,50,46,43,38,34
37119,371,353,402,493,479,492,440,443
37133,57,49,65,NA,NA,NA,NA,NA
37135,NA,NA,NA,263,245,243,236,232
37147,171,205,191,174,191,165,175,184
37151,38,36,45,40,32,45,40,31
37155,30,59,76,NA,NA,NA,NA,NA
37159,51,60,75,74,70,77,56,82
37179,57,59,57,NA,NA,NA,NA,NA
37183,NA,NA,NA,479,541,525,522,547
37191,60,83,42,45,41,43,46,36
38e3,241,255,284,266,290,261,263,280
38017,106,93,97,93,113,98,117,103
39e3,2218,2192,2667,2329,2327,2327,2289,2155
39003,NA,NA,NA,57,52,53,49,52
39007,36,26,40,23,39,28,34,27
39017,188,200,243,276,273,237,235,243
39023,NA,NA,NA,59,95,69,63,75
39029,39,40,38,28,42,29,22,30
39035,551,571,700,641,594,632,617,641
39041,67,56,70,79,61,78,75,84
39045,57,58,43,55,47,46,37,47
39049,617,645,660,611,687,722,735,609
39057,139,135,175,180,199,181,197,194
39061,419,349,409,485,450,427,422,402
39089,82,56,93,71,109,78,95,81
39093,117,113,183,128,155,114,135,145
39103,62,64,60,46,65,57,64,58
39109,NA,NA,NA,31,28,23,28,24
39113,255,268,455,275,290,275,298,245
39133,145,145,199,157,201,158,176,173
39139,47,39,48,37,36,39,48,29
39153,248,218,290,240,261,211,249,233
39165,65,62,51,77,58,47,63,50
39169,50,55,112,88,75,69,73,65
4e4,1553,1505,1714,1170,1176,1236,1201,1169
40017,NA,NA,NA,33,29,28,49,32
40027,NA,NA,NA,183,211,187,194,208
40109,NA,NA,NA,221,250,213,274,230
41e3,1060,1127,1350,577,569,554,579,570
41005,NA,NA,NA,134,108,106,131,113
41017,28,27,24,24,37,27,28,38
41019,23,26,32,29,26,27,24,24
41029,66,47,75,62,47,58,59,50
41039,217,212,247,234,259,255,233,238
41047,101,117,161,144,126,151,144,143
41051,NA,NA,NA,364,400,382,362,379
41067,NA,NA,NA,183,215,179,195,189
42e3,1804,1846,2442,2543,2501,2404,2394,2308
42003,588,614,705,692,680,661,652,620
42011,181,206,262,229,239,241,228,228
42013,43,37,66,NA,NA,NA,NA,NA
42017,262,220,232,230,230,215,236,216
42019,87,99,123,120,127,122,102,120
42021,NA,NA,NA,117,121,141,140,134
42027,250,206,313,306,332,311,329,337
42029,234,212,307,291,260,280,262,249
42043,66,86,93,77,98,73,90,75
42045,254,306,435,425,404,382,400,404
42049,146,151,235,188,205,183,209,206
42051,34,50,44,31,28,23,42,39
42071,219,204,225,251,195,218,218,194
42075,60,57,63,63,66,55,48,58
42081,83,68,85,NA,NA,NA,NA,NA
42085,76,78,110,97,93,100,96,86
42089,68,66,85,56,66,45,67,55
42091,348,317,362,351,327,349,359,350
42095,151,139,231,NA,NA,NA,NA,NA
42101,559,571,802,827,801,839,819,819
42107,67,60,66,48,50,67,51,47
42129,129,152,168,166,153,171,152,148
42133,145,124,175,143,160,168,160,137
44e3,82,68,120,135,109,117,138,119
44003,60,63,67,52,74,58,43,44
44007,417,430,512,552,479,455,525,471
44009,90,81,137,133,143,142,126,129
45e3,1142,1172,1365,1990,1984,1944,2036,1978
45003,56,64,96,NA,NA,NA,NA,NA
45007,58,69,66,66,74,74,74,66
45015,43,52,34,NA,NA,NA,NA,NA
45019,197,200,270,NA,NA,NA,NA,NA
45045,181,180,265,NA,NA,NA,NA,NA
45051,71,108,69,82,116,108,135,107
45083,119,113,170,163,141,144,158,186
45085,31,40,53,NA,NA,NA,NA,NA
45091,77,91,114,93,126,96,113,130
46e3,329,381,459,447,397,420,407,444
47e3,1426,1481,1685,1518,1457,1504,1562,1482
47009,30,39,38,41,37,55,50,36
47037,268,302,445,437,410,418,393,420
47065,NA,NA,NA,181,200,191,195,193
47125,67,72,76,NA,NA,NA,NA,NA
47149,146,153,134,150,172,177,169,161
47157,342,365,417,413,372,382,356,349
47165,NA,NA,NA,44,57,48,59,44
47179,67,72,86,84,80,73,79,88
47187,65,63,30,75,65,70,77,40
47189,NA,NA,NA,25,30,30,44,42
48e3,3640,3857,4535,2002,1980,1939,1972,1976
48027,NA,NA,NA,141,109,160,151,106
48029,671,751,719,911,872,783,834,834
48039,95,90,105,130,107,103,80,86
48041,345,362,375,415,427,420,431,488
48061,174,146,200,181,175,156,152,154
48085,276,266,258,307,316,291,291,364
48091,NA,NA,NA,26,33,24,28,30
48113,773,860,999,928,963,905,951,908
48121,370,412,373,393,478,460,477,483
48135,47,43,50,42,53,37,55,42
48139,62,73,74,63,54,59,63,52
48141,354,395,392,412,463,401,361,409
48157,230,257,175,205,191,168,192,191
48167,125,118,145,140,119,157,164,134
48183,NA,NA,NA,65,70,77,68,68
48187,NA,NA,NA,61,61,73,63,78
48201,1403,1433,1545,1606,1520,1575,1557,1575
48209,NA,NA,NA,171,179,186,192,183
48215,243,279,287,270,285,301,301,276
48245,110,95,141,112,114,79,98,100
48251,46,48,44,50,59,66,56,51
48257,NA,NA,NA,34,40,43,28,37
48303,234,259,280,283,266,266,277,286
48309,176,186,247,203,217,210,191,219
48329,43,46,51,45,41,60,40,40
48339,NA,NA,NA,92,101,80,98,111
48355,NA,NA,NA,138,166,148,158,183
48367,NA,NA,NA,39,34,42,43,31
48375,39,36,42,44,49,45,52,37
48381,65,75,90,80,86,100,82,95
48423,88,97,139,116,132,126,123,116
48439,NA,NA,NA,789,722,730,766,815
